Kernel,AUC,F-score,Balanced Accuracy
Dot-Product and White,0.9520482692918387,0.9538461538461538,0.9520482692918386
RBF and White,0.9318831375039694,0.948905109489051,0.9318831375039696
RBF,0.9318831375039694,0.948905109489051,0.9318831375039696
Rational Quadratic,0.9244204509368054,0.9411764705882353,0.9244204509368052
Rational Quadratic and White,0.9244204509368054,0.9411764705882353,0.9244204509368052
Matern,0.9425214353763098,0.9558823529411764,0.94252143537631
Matern and White,0.9425214353763098,0.9558823529411764,0.94252143537631
Constant,0.5,0.7403314917127072,0.5
Constant and White,0.5,0.7403314917127072,0.5
